Income,Age,Dependents,Occupation,City_Tier,Rent,Loan_Repayment,Insurance,Groceries,Transport,Eating_Out,Entertainment,Utilities,Healthcare,Education,Miscellaneous,Desired_Savings_Percentage,Desired_Savings,Disposable_Income,Potential_Savings_Groceries,Potential_Savings_Transport,Potential_Savings_Eating_Out,Potential_Savings_Entertainment,Potential_Savings_Utilities,Potential_Savings_Healthcare,Potential_Savings_Education,Potential_Savings_Miscellaneous,Essential_Expenses,Discretionary_Expenses,Total_Expenses,Expense_Ratio,Savings_Gap
73033.38256,28,0,Retired,Tier_1,21910.01477,0.0,1970.86356,7994.123287,4785.132022,2569.442772,3086.789018,4100.506032,3460.65048,0.0,1416.372386,13.23244894,9664.105058,21739.48823,2221.100193,620.7902831,417.8463819,372.661854,300.7545586,19.56805099,0.0,99.52264182,31442.034842000005,19851.859485,51293.894327,0.7023349121870387,-12075.383172
59544.36102,33,4,Student,Tier_3,8931.654153,0.0,1549.559445,7452.618222,4345.452607,1618.409584,1883.527595,2550.822324,2397.330451,5610.548348,830.094931,10.63407953,6331.994708,22374.34336,1514.521831,713.7570867,206.8553595,346.0204768,561.9951426,89.7054395,227.2110705,226.2807076,21039.914721,16130.102939,37170.01766,0.6242407681143003,-16042.348651999999
18941.6424,39,1,Professional,Tier_2,3788.32848,0.0,767.4829662,2215.806402,1183.967128,945.1583406,803.5923454,1397.044708,609.2434782,1389.646647,494.5310002,9.051964708,1714.590785,5346.840903,473.5113278,75.80278001,256.801956,193.9966063,339.395727,0.025518933,7.88790794,121.7440508,7951.7462794,5643.0552162,13594.8014956,0.7177203121309058,-3632.250118
83503.51084,63,2,Student,Tier_2,16700.70217,0.0,3210.237727,10045.48053,4765.011175,2872.487123,3167.990173,6561.169274,4149.120748,5228.809475,2228.015518,12.04793246,10060.44659,24574.48693,1902.988777,1141.375074,495.3815249,461.2310975,1181.94766,105.2761588,14.14977293,582.2411877,35850.039394,23078.984518999998,58929.023913,0.705707141175335,-14514.04034
95643.84306,28,3,Professional,Tier_1,28693.15292,0.0,4270.313698,10500.61123,6593.898386,3296.840874,4489.233273,7102.159521,3491.120127,8430.105323,1994.097997,14.83984442,14193.39751,16782.30971,1577.122676,1758.210443,440.2069916,1208.966668,1614.111871,95.81773691,93.36164074,578.5944066,51986.851589,26874.681760000003,78861.533349,0.8245332979722282,-2588.9122000000007
27403.22927,54,3,Professional,Tier_1,8220.968781,0.0,770.3161576,3583.434495,2084.380712,978.7286127,1358.033825,1115.849085,1269.429957,1801.892322,753.521095,7.272701719,1992.955126,5466.674229,511.848518,493.4301318,102.2604282,260.7079516,253.9275912,54.88335615,35.85381661,93.7901897,13178.4563026,8758.098739699999,21936.5550423,0.8005098532790548,-3473.7191030000004
20919.10465,43,3,Retired,Tier_2,4183.82093,0.0,858.8700582,2548.033751,1342.037585,846.1960886,710.4054421,1459.633788,983.1062801,1879.998191,461.8423429,8.131842415,1701.108625,5645.160195,168.5628019,267.6868695,65.65383776,165.7151347,83.18654191,5.395634644,82.86773438,114.833009,9365.4292473,5908.5152096,15273.9444569,0.7301433169559673,-3944.0515700000005
182888.9255,43,4,Retired,Tier_1,54866.67764,0.0,4700.411148,26577.93182,11125.68316,8856.942042,8566.323515,10846.43341,7123.301169,12454.6932,1913.632221,17.57582603,32144.23936,35856.89613,1427.069344,2001.701536,1457.780513,869.8966992,1319.536111,272.5410025,382.4516411,315.923129,89991.516567,57040.512758000004,147032.029325,0.8039416762006183,-3712.6567700000014
53416.88205,59,2,Student,Tier_3,8012.532308,0.0,1465.966847,6479.997516,2696.015387,1112.828309,1143.810934,2906.792174,2109.129502,4266.821085,1041.21494,14.23820742,7605.606466,22181.77305,1547.5832,772.899772,111.2689678,300.0116619,476.9885517,91.79967294,137.4462473,213.9694178,18761.241916,12473.867086,31235.109001999997,0.5847422725415325,-14576.166583999999
36827.95134,38,0,Self_Employed,Tier_2,7365.590267,0.0,1295.142452,5134.498259,2937.642314,1002.025878,755.3485143,1923.426866,1246.025617,0.0,553.5537385,8.993487313,3312.117131,14614.69743,508.8980698,760.6259678,141.9374092,97.82858689,337.2198111,6.977285394,0.0,143.2790876,11830.185201999999,10383.068703800001,22213.2539058,0.6031628993077734,-11302.580299000001
